business_date,close_price,high_price,low_price,total_traded_quantity,total_traded_value,total_trades,day,month,weekday,volume_class,anomaly_label,year,year_month,week,prev_total_trades,avg_traded_qty_3
2024-10-30,1325.0,1352.9,1321.0,13238,17664645.8,165,30,10,2,0,0,2024,2024-10,44,174.0,11462.333333333334
2024-10-29,1340.0,1365.0,1332.0,20146,27180371.1,263,29,10,1,0,0,2024,2024-10,44,165.0,14815.666666666666
2024-10-28,1325.0,1365.0,1315.0,11180,14789316.0,174,28,10,0,0,0,2024,2024-10,44,263.0,14854.666666666666
2024-10-27,1315.0,1340.0,1307.0,14875,19539785.7,170,27,10,6,0,0,2024,2024-10,43,174.0,15400.333333333334
2024-10-24,1325.0,1346.0,1309.0,16134,21349122.4,245,24,10,3,0,0,2024,2024-10,43,170.0,14063.0
2024-10-23,1346.0,1367.0,1320.0,35945,48135013.1,447,23,10,2,1,0,2024,2024-10,43,245.0,22318.0
2024-10-22,1439.9,1445.0,1375.0,42715,61217259.8,546,22,10,1,1,0,2024,2024-10,43,447.0,31598.0
2024-10-21,1399.0,1438.0,1395.0,24816,34922786.7,327,21,10,0,0,0,2024,2024-10,43,546.0,34492.0
2024-10-20,1425.0,1462.0,1410.0,27005,38811184.3,381,20,10,6,0,0,2024,2024-10,42,327.0,31512.0
2024-10-17,1459.0,1498.9,1459.0,22318,33047493.3,285,17,10,3,0,0,2024,2024-10,42,381.0,24713.0
2024-10-16,1482.8,1485.0,1460.0,26275,38736456.6,295,16,10,2,0,0,2024,2024-10,42,285.0,25199.333333333332
2024-10-15,1444.0,1453.5,1422.0,15644,22500528.2,174,15,10,1,0,0,2024,2024-10,42,295.0,21412.333333333332
2024-10-09,1420.0,1455.0,1407.0,18225,25834748.9,210,9,10,2,0,0,2024,2024-10,41,174.0,20048.0
2024-10-08,1427.0,1460.0,1426.3,17483,25052341.9,199,8,10,1,0,0,2024,2024-10,41,210.0,17117.333333333332
2024-10-07,1455.0,1498.0,1435.0,40335,59064491.2,335,7,10,0,1,0,2024,2024-10,41,199.0,25347.666666666668
2024-10-06,1443.0,1456.0,1406.0,32564,46644300.0,308,6,10,6,1,0,2024,2024-10,40,335.0,30127.333333333332
